card_name,cards_unit,price,original_price,href_url,img_url
捷豹XJ 2018款 XJL 3.0 SC 四驱全景商务版,5.9万公里／2018-05／北京／9年黄金会员,36.99万,103.99万,/dealer/192824/48960839.html?pvareaid=110520&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//2sc2.autoimg.cn/escimg/g30/M0A/A1/77/440x330_q87_c42_autohomecar__CjIFU2UCnUiABmuvAAdDwDn-Im4714.jpg
奥迪RS 7 2021款 RS 7 4.0T Sportback,0.35万公里／2023-11／北京／6年会员,139.90万,157.26万,/dealer/341128/49444886.html?pvareaid=100519&userpid=0&usercid=0&offertype=750&offertag=0&activitycartype=11&fromsxmlist=0,//2sc2.autoimg.cn/escimg/g26/M08/9F/A9/440x330_q87_c42_autohomecar__ChxkjmVVgWqAQBJQAAHbtlxonYc130.jpg
力狮 2020款 改款 2.5i 荣耀限量版 EyeSight,3万公里／2020-11／东莞／7年会员,15.38万,26.90万,/dealer/303409/49642984.html?pvareaid=100519&userpid=0&usercid=0&offertype=750&offertag=0&activitycartype=11&fromsxmlist=0,//2sc2.autoimg.cn/escimg/g30/M03/F3/E1/440x330_q87_c42_autohomecar__ChxknGV0ZiaAAWxkAAnsYHtjX2s865.jpg
楼兰 2021款 2.5 S/C HEV XE 四驱混动智联尊尚版,5万公里／2021-08／重庆／11年黑金会员,抢购价15.20万,已降6000元,/dealer/106470/49626231.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//2sc2.autoimg.cn/escimg/g30/M01/7A/35/440x330_q87_c42_autohomecar__CjIFU2Vxxp2AfZpfAAjFx1AZugI115.jpg
途达 2020款 2.5L XL Upper 4WD 自动四驱豪华版,4.3万公里／2020-08／郑州／11年钻石会员,13.90万,24.78万,/dealer/118132/49733020.html?pvareaid=108867&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//2sc2.autoimg.cn/escimg/g30/M0A/97/37/440x330_q87_c42_autohomecar__ChxknGWD-cSAVxS7AAMUZVeDQ_w741.jpg
赛那SIENNA 2021款 2.5L混动 舒适版,2.8万公里／2022-04／武汉／13年钻石会员,27.50万,33.63万,/dealer/70956/49670873.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//2sc2.autoimg.cn/escimg/g30/M05/AA/63/440x330_q87_c42_autohomecar__CjIFU2V5VkmAHaCJAAdNJYiKM2E770.jpg
智己L7 2022款 Pro,1.8万公里／2022-06／佛山／4年黄金会员,22.68万,44.37万,/dealer/420287/48818691.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//2sc2.autoimg.cn/escimg/g25/M0A/1F/73/440x330_q87_c42_autohomecar__ChxkqWTrE3uAVLhwAAYr0aQs23c926.jpg
奥迪RS 5 2021款 RS 5 2.9T Sportback 暗金版,2万公里／2021-01／北京／9年黄金会员,58.00万,90.83万,/dealer/241156/49547317.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
ARIYA艾睿雅 2022款 两驱长续航顶配版,1.3万公里／2022-11／广州／10年黄金会员,15.38万,32.33万,/dealer/134052/49668859.html?pvareaid=110520&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
途乐 2023款 ARMADA 5.6L 无敌舰队旗舰版,1万公里／2022-09／南京／8年黄金会员,69.88万,90.96万,/dealer/259919/49608632.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
